qid,role,intent,grade,systems,question
EA-008,University estates and asset-management teams,capability,answered-with-data,asset_register|bms_plant|cmms_work|contract_warranty|finance_cost|permit_control|project_handover|sensor_telemetry,"Which assets appear active in one system but isolated, replaced, removed or out of service in another?"
EA-009,University estates and asset-management teams,capability,deflected,asset_register|cmms_work|finance_cost|policy_governance|project_handover|sensor_telemetry|survey_condition,"Can every asset fact used in this answer be traced to a current source owner, evidence item and time?"
EA-010,University estates and asset-management teams,sensor_data,honest-capability-answer,finance_cost|policy_governance|sensor_telemetry|statutory_compliance,"Which asset-data defects should be corrected first because they could affect an imminent operational, financial or project decision?"
EA-011,University estates and asset-management teams,metadata,answered-with-data,bms_plant|cmms_work|sensor_telemetry|survey_condition,"Which assets show credible evidence of deteriorating condition, and which apparent trends may instead reflect duty, season or sensor behaviour?"
EA-012,University estates and asset-management teams,capability,honest-capability-answer,policy_governance|sensor_telemetry|timetable,"Are current criticality classifications still aligned with the services, academic calendar and recovery needs each asset supports?"
EA-013,University estates and asset-management teams,metadata,answered-with-data,cmms_work|policy_governance|survey_condition,"Where do condition grades, criticality classes, risk scores and backlog priorities contradict one another?"
EA-014,University estates and asset-management teams,metadata,answered-with-data,cmms_work|project_handover|sensor_telemetry,"Which new observations justify a defect candidate for the backlog, and what evidence is still needed before priority can be set?"
EA-015,University estates and asset-management teams,metadata,answered-with-data,sensor_telemetry,"Which backlog items have exceeded their target, deferral condition or current risk tolerance, and what has changed since the last authorised decision?"
EA-016,University estates and asset-management teams,events,answered-with-data,bms_plant|contract_warranty|permit_control,"Which assets have repeated temporary interventions, bypasses or symptom recurrence without evidence of a durable resolution?"
EA-017,University estates and asset-management teams,capability,document-quoted,it_network|permit_control|sensor_telemetry,"Which critical services depend on a single asset, path or control point without a verified and operable contingency?"
EA-018,University estates and asset-management teams,metadata,answered-with-data,sensor_telemetry|survey_condition,"Which condition grades or survey findings are too old, narrow or weakly evidenced for the decisions now being made?"
EA-019,University estates and asset-management teams,capability,answered-with-data,booking|timetable,"What is the plausible service consequence if this asset fails during the next defined teaching, research or campus operating window?"
EA-020,University estates and asset-management teams,metadata,answered-with-data,asset_register|cmms_work|sensor_telemetry|statutory_compliance|survey_condition,"Which assets or areas need a competent on-site survey because available condition, risk or dependency evidence is insufficient?"
EA-021,University estates and asset-management teams,maintenance,honest-capability-answer,cmms_work|contract_warranty|sensor_telemetry,"Are planned maintenance tasks aligned with each asset type, duty, environment, criticality and governing obligation?"
EA-022,University estates and asset-management teams,capability,answered-with-data,asset_register|bms_plant|booking|cmms_work|project_handover,Which assets have more confirmed failures than comparable assets under similar duty and exposure?
EA-023,University estates and asset-management teams,events,answered-with-data,bms_plant|contract_warranty|permit_control|sensor_telemetry,"Which failure symptoms recur after intervention, and where is competent root-cause work needed instead of another symptom-led response?"
EA-024,University estates and asset-management teams,maintenance,honest-capability-answer,contract_warranty|permit_control,"Was planned maintenance completed on the correct asset, within the required window and with enough evidence to rely on the completion status?"
EA-025,University estates and asset-management teams,metadata,answered-with-data,cmms_work|contract_warranty|sensor_telemetry,"Which non-mandatory tasks have enough sensing, failure-mode knowledge and fallback control to be considered for condition-based triggering?"
EA-026,University estates and asset-management teams,metadata,answered-with-data,access_control|contract_warranty|permit_control|project_handover|sensor_telemetry,"Which maintenance visits are delayed, repeated or abandoned because job information, parts, tools, permits or access arrangements are not ready?"
EA-027,University estates and asset-management teams,capability,answered-with-data,cmms_work|finance_cost|permit_control,"Which assets or services take longest to restore after confirmed failure, and which restoration stages account for the delay?"
EA-028,University estates and asset-management teams,events,deflected,cmms_work|statutory_compliance,"Which closed work orders lack enough asset, test or outcome evidence for estates teams to rely on the stated result?"
EA-029,University estates and asset-management teams,capability,honest-capability-answer,booking|contract_warranty|permit_control|timetable|weather_external,"Which maintenance windows satisfy isolation, access, resource and service constraints while causing the least credible disruption?"
EA-030,University estates and asset-management teams,capability,answered-with-data,cmms_work|sensor_telemetry|survey_condition,"Which reliability evidence supports considering a maintenance-strategy change, and which patterns justify only further investigation?"
EA-031,University estates and asset-management teams,capability,honest-capability-answer,contract_warranty|finance_cost|policy_governance|space_inventory,"Who is currently accountable for each space, asset and shared service, and where are ownership, operation or funding responsibilities unclear?"
EA-032,University estates and asset-management teams,sensor_data,answered-with-data,booking|hr_identity|permit_control|space_inventory,Does recorded departmental tenure or authorised space allocation match the current approved arrangement and observed operational context?
EA-033,University estates and asset-management teams,capability,honest-capability-answer,accessibility|booking|sensor_telemetry|timetable,"Which spaces show persistent aggregate underuse, crowding or service-intensity patterns that merit a space-management check?"
EA-034,University estates and asset-management teams,capability,answered-with-data,contract_warranty|finance_cost|meter_energy|policy_governance|sensor_telemetry,"Which assets and services support several departments or tenants, and what responsibility or cost-sharing basis is currently authorised?"
EA-035,University estates and asset-management teams,sensor_data,answered-with-data,sensor_telemetry|space_inventory,"Which spaces have operational constraints that are missing, stale or inconsistent across estate information?"
EA-036,University estates and asset-management teams,capability,answered-with-data,access_control|asset_register|hr_identity|project_handover|space_inventory|survey_condition|timetable,"Where are room names, numbers, functions or boundaries inconsistent across space, asset, maintenance and project systems?"
EA-037,University estates and asset-management teams,metadata,answered-with-data,access_control|booking|sensor_telemetry|space_inventory,"Which spaces are currently unavailable or partly available, and what authoritative reason, period and reopening condition are recorded?"
EA-038,University estates and asset-management teams,,unmeasured,asset_register|meter_energy|space_inventory,"How could a proposed change of space use affect the assets, capacities, controls and shared services supporting the area?"
